Title,Author,Publication_Date,Genres,Summary,image
Evolution,Stephen Baxter,2002-11-30,"['Science Fiction', 'Speculative fiction', 'Fantasy']","The book follows the evolution of mankind as it shapes surviving Purgatorius into tree dwellers, remoulds a group that drifts from Africa to a (then much closer) New World on a raft formed out of debris, and confronting others with a terrible dead end as ice clamps down on Antarctica. The stream of DNA runs on elsewhere, where ape-like creatures in North Africa are forced out of their diminishing forests to come across grasslands where their distant descendants will later run",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF5B0>
Black Beauty,Anna Sewell,1877-11-24,"['Childrens literature', 'Fiction', 'Novel']","The story is narrated in the first person as an autobiographical memoir told by the titular horse named Black Beauty—beginning with his carefree days as a colt on an English farm with his mother, to his difficult life pulling cabs in London, to the happy retirement in the country. Along the way, he meets with many hardships and recounts many tales of cruelty and kindness. Each short chapter recounts an incident in Black Beauty's life containing a lesson or moral typically related to",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF730>
A Visit from St. Nicholas,Clement Clarke Moore,1823,['Childrens literature']," On Christmas Eve night, while his wife and children sleep, a man awakens to noises outside his house. Looking out the window, he sees St. Nicholas in an air-borne sleigh pulled by eight reindeer. After landing his sleigh on the roof, the saint enters the house through the chimney, carrying a sack of toys with him. The man watches Nicholas filling the children's stockings hanging by the fire, and laughs to himself. They share a conspir",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCD780>
The Thorn Birds,Colleen McCullough,1977-04,"['Childrens literature', 'Fiction', 'Romance novel', 'Novel']"," The epic begins with Meghann ""Meggie"" Cleary, a four-year-old girl living in New Zealand in the early twentieth century, the only daughter of Paddy, an Irish farm labourer, and Fee, his harassed but aristocratic wife. Although Meggie is a beautiful child with curly red-gold hair, she receives little coddling and must struggle to hold her own against her numerous older brothers. Of these brothers, her favourite is the eldest,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCDBA0>
The Magic of Oz,L. Frank Baum,1919,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," At the top of Mount Munch, lives a group of people known as the Hyups. One of their numbers, a Munchkin named Bini Aru, discovered a method of transforming people and objects by merely saying the word ""Pyrzqxgl"". After Princess Ozma decreed that no one could practice magic in Oz except for Glinda the Good Witch and the Wizard of Oz, Bini wrote down the directions for pronouncing ""PYRzqax",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF790>
Charlie and the Great Glass Elevator,Roald Dahl,1972-09,"['Science Fiction', 'Childrens literature', 'Fantasy', 'Speculative fiction', 'Fiction']"," The book begins where Charlie and the Chocolate Factory ends: Willy Wonka has just given Charlie the ownership of his factory, and they crash through the roof of Charlie's house with a flying elevator to inform his family of the good news. Charlie's grandparents (except Grandpa Joe who had already gotten out of the bed) are nervous about going inside the travelling elevator, and after twenty years in bed, they refuse to get up. The bed is thus pushed into the elevator, which",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF850>
Moving Pictures,Terry Pratchett,1990,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," The alchemists of the Discworld have invented moving pictures. Many hopefuls are drawn by the siren call of Holy Wood, home of the fledgling ""clicks"" industry – among them Victor Tugelbend (""Can't sing. Can't dance. Can handle a sword a little.""), a dropout from Ankh-Morpork's Unseen University and Theda ""Ginger"" Withel, a girl ""from a little town you never ever",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF820>
Glinda of Oz,L. Frank Baum,1920,"['Speculative fiction', 'Fantasy', 'Childrens literature']","In the story of Oz, Ozma and Dorothy travel to an obscure corner of the Land of Oz. In order to prevent a war between two local powers, the Skeezers and the Flatheads. The leaders of the two tribes prove obstinate. Unable to prevent the war, Dorothy and Ozma find themselves imprisoned on the Skeeeders' glass-covered island, which has been magically submerged to the bottom of its lake. Their situation worsens when the warlike queen Co",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF8E0>
Walk Two Moons,Sharon Creech,1994-06-30,"['Childrens literature', 'Young adult literature', 'Fiction']"," The novel is narrated by a 13 year old girl, Salamanca Tree Hiddle (Sal). Sal's mother, Sugar, has recently left Sal and her father for reasons that are initially unclear. Sal, an only child, has had a very close relationship with her mother and is devastated by her departure. After Sal's father realizes that Sugar will never return, he and Sal move from their beloved farm in Bybanks, Kentucky to Euclid, Ohio, where a woman with whom he",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF190>
"God Bless You, Mr. Rosewater",Kurt Vonnegut,1965,"['Speculative fiction', 'Fiction', 'Novel']"," As the opening of the book explains, this is a story where the leading character is Money. The Rosewater Foundation was founded by United States senator Lister Ames Rosewater of Indiana to help Rosewater descendants avoid paying taxes on the family estate in Rosewater County, Indiana. It is operated by a large legal firm in New York and provides an annual pension of $3.5 million to Eliot, the senator's son. Restless, Eliot goes through the list of things philanthropists",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCFDC0>
The Unknown Soldier,Väinö Linna,1954-12-03,['War novel'],"The novel has no single central character (it both begins and ends with an ironic play on the narrator's omniscience), and its focus is on different responses to the experience of war. It tells the story of a machinegun company in the war from mobilisation to armistice. A picture of the whole nation in microcosm, the men come from all over the country (a result of Linna's unusual patchwork regiment - units were normally made up of men from",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCFEB0>
Main Street,Sinclair Lewis,1920,"['Autobiography', 'Biography', 'Childrens literature', 'Fiction', 'Novel']"," Carol Milford is a liberal, free-spirited young woman, reared in the metropolis of Saint Paul, Minnesota. She marries Will Kennicott, a doctor, who is a small-town boy at heart. When they marry, Will convinces her to live in his home-town of Gopher Prairie, Minnesota (a town modeled on Sauk Centre, Minnesota, the author's birthplace). Carol is appalled at the backwardness of Gophers Prairie. But",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCFE20>
Misery,Stephen King,1987-06-08,"['Childrens literature', 'Horror', 'Speculative fiction', 'Fiction']"," Paul Sheldon, the author of a best-selling series of Victorian-era romance novels surrounding the heroine character Misery Chastain, has just finished the manuscript of his new crime novel, Fast Cars, while staying at the Hotel Boulderado; since 1974, he has completed the first draft of every one of his novels in the same hotel room. With his latest project finished, he had an alcohol-induced impulse to drive to Los Angeles rather than back home to New York City.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCFA30>
American Tabloid,James Ellroy,1995-02-14,"['Crime Fiction', 'Mystery', 'Speculative fiction', 'Fiction', 'Suspense']"," *Part I, SHAKEDOWNS, November–December 1958 ""Shakedowns"" covers just 26 days, introducing the three principal characters, and establishing their relationships, history, and career trajectories. Pete Bondurant is a former LASD deputy; he presently works for billionaire Howard Hughes and runs small-time shakedowns. (Bondurant are also an associate of Jimmy Hoffa.) Kemper Boyd is a Federal Bureau of Investigation agent, a s",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF9A0>
The Wonderful Adventures of Nils,Selma Lagerlöf,1906,"['Speculative fiction', 'Childrens literature']"," The book is about a young lad, Nils Holgersson, whose ""chief delight was to eat and sleep, and after that he liked best to make mischief"". He takes great delight in hurting the animals in his family farm. Nils captures a tomte in a net while his family is at church and have left him home to memorize chapters from the Bible. The tomte proposes to Nils that if Nils frees him, the tomte will give him a",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCFA60>
The Cold Six Thousand,James Ellroy,2001-05-08,"['Crime Fiction', 'Mystery', 'Novel', 'Suspense']"," The story begins on November 22, 1963, in Dallas, minutes after the John F. Kennedy assassination, and continues for roughly five years. Ward Littell, former Federal Bureau of Investigation agent turned high-powered Mafia lawyer, arrives in Dallas with J. Edgar Hoover's blessing to ""manage"" the investigation and ensure a consensus: Lee Harvey Oswald acted alone. Pete Bondurant, who Littett once arrested but is now an uneasy friend and partner, is a veteran",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCFE50>
